ID_APPLIANCE,START_TIME,END_TIME,CAPACITY,MAX_END_TIME
WH,2022-08-02 11:00:00,2022-08-02 12:00:00,1800.0,2022-07-29 17:30:00
EO,2022-08-02 12:30:00,2022-08-02 13:00:00,1800.0,2022-07-29 15:00:00
WM,2022-08-02 10:00:00,2022-08-02 11:30:00,1000.0,2022-07-29 16:30:00
AC,2022-08-02 11:30:00,2022-08-02 12:00:00,1000.0,2022-07-29 20:00:00
AC,2022-08-02 12:00:00,2022-08-02 12:30:00,1000.0,2022-07-29 20:00:00
AC,2022-08-02 13:00:00,2022-08-02 13:30:00,1000.0,2022-07-29 20:00:00
AC,2022-08-02 13:30:00,2022-08-02 14:00:00,1000.0,2022-07-29 20:00:00
AC,2022-08-02 14:00:00,2022-08-02 14:30:00,1000.0,2022-07-29 20:00:00
AC,2022-08-02 14:30:00,2022-08-02 15:00:00,1000.0,2022-07-29 20:00:00
WP1,2022-08-02 09:30:00,2022-08-02 10:00:00,800.0,2022-07-29 18:00:00
WP1,2022-08-02 10:00:00,2022-08-02 10:30:00,800.0,2022-07-29 18:00:00
WP1,2022-08-02 10:30:00,2022-08-02 11:00:00,800.0,2022-07-29 18:00:00
WP1,2022-08-02 12:00:00,2022-08-02 12:30:00,800.0,2022-07-29 18:00:00
